iter,h_inlet
0,5.529996820509334e-14
1,2.1284290049497027e-13
2,3.7123506761059114e-13
3,5.304780645171175e-13
4,6.905734786814931e-13
5,8.515228900030133e-13
6,1.0133278707432889e-12
7,1.1759899854577623e-12
8,1.3395107909235257e-12
9,1.5038918360704074e-12
10,1.6691346619100391e-12
11,1.835240801464811e-12
12,2.002211779698247e-12
13,2.1700491134417224e-12
14,2.3387543113244955e-12
15,2.50832887370168e-12
16,2.6787742925824537e-12
17,2.850092051557577e-12
18,3.022283625728595e-12
19,3.1953504816332453e-12
20,3.369294077174043e-12
21,3.544115861545152e-12
22,3.719817275159147e-12
23,3.896399749573382e-12
24,4.0738647074177196e-12
25,4.252213562318803e-12
26,4.43144771882737e-12
27,4.611568572343592e-12
28,4.792577509042559e-12
29,4.974475905800756e-12
30,5.1572651301194025e-12
31,5.3409465400504735e-12
32,5.525521484121388e-12
33,5.710991301259355e-12
34,5.8973573207152584e-12
35,6.084620861989434e-12
36,6.272783234753031e-12
37,6.46184573877353e-12
38,6.651809663837485e-12
39,6.842676289674046e-12
40,7.034446885877502e-12
41,7.227122711831512e-12
42,7.420705016629765e-12
43,7.61519503899956e-12
44,7.810594007223982e-12
45,8.006903139063185e-12
46,8.204123641677998e-12
47,8.402256711549109e-12
48,8.601303534399845e-12
49,8.801265285117239e-12
50,9.002143127672772e-12
51,9.203938215042953e-12
52,9.406651689131119e-12
53,9.610284680685875e-12
54,9.814838309222515e-12
55,1.0020313682942644e-11
56,1.0226711898654024e-11
57,1.0434034041689598e-11
58,1.0642281185828566e-11
59,1.0851454393212879e-11
60,1.106155471426827e-11
61,1.1272583187622105e-11
62,1.1484540840022082e-11
63,1.1697428686254489e-11
64,1.1911247729063285e-11
65,1.212599895906651e-11
66,1.2341683354674758e-11
67,1.2558301882009113e-11
68,1.2775855494817733e-11
69,1.299434513439432e-11
70,1.3213771729493451e-11
71,1.3434136196248205e-11
72,1.3655439438086905e-11
73,1.387768234564923e-11
74,1.4100865796701868e-11
75,1.4324990656056604e-11
76,1.4550057775483154e-11
77,1.477606799362698e-11
78,1.5003022135923707e-11
79,1.5230921014514913e-11
80,1.5459765428162648e-11
81,1.568955616216544e-11
82,1.5920293988271264e-11
83,1.615197966459315e-11
84,1.6384613935523436e-11
85,1.6618197531646987e-11
86,1.685273116965732e-11
87,1.708821555226778e-11
88,1.7324651368126134e-11
89,1.756203929172865e-11
90,1.7800379983332058e-11
91,1.803967408886742e-11
92,1.8279922239853395e-11
93,1.8521125053307352e-11
94,1.876328313165922e-11
95,1.9006397062662988e-11
96,1.925046741930964e-11
97,1.9495494759737592e-11
98,1.9741479627147417e-11
99,1.998842254970959e-11
100,2.0236324040478817e-11
101,2.0485184597304158e-11
102,2.073500470273953e-11
103,2.0985784823957028e-11
104,2.1237525412654243e-11
105,2.1490226904967478e-11
106,2.1743889721380496e-11
107,2.1998514266636064e-11
108,2.225410092964476e-11
109,2.2510650083396458e-11
110,2.2768162084868248e-11
111,2.3026637274934735e-11
112,2.3286075978277986e-11
113,2.354647850329575e-11
114,2.3807845142010946e-11
115,2.4070176169982057e-11
116,2.4333471846208606e-11
117,2.4597732413042484e-11
118,2.486295809609523e-11
119,2.5129149104146322e-11
120,2.539630562905232e-11
121,2.5664427845653027e-11
122,2.593351591168083e-11
123,2.6203569967666977e-11
124,2.6474590136850716e-11
125,2.6746576525084335e-11
126,2.7019529220743916e-11
127,2.729344829463202e-11
128,2.7568333799887574e-11
129,2.7844185771891796e-11
130,2.81210042281743e-11
131,2.8398789168319764e-11
132,2.867754057387534e-11
133,2.8957258408255117e-11
134,2.9237942616646346e-11
135,2.9519593125916525e-11
136,2.980220984451775e-11
137,3.008579266239369e-11
138,3.0370341450883696e-11
139,3.0655856062628034e-11
140,3.094233633147457e-11
141,3.122978207238205e-11
142,3.151819308132587e-11
143,3.1807569135203915e-11
144,3.209790999173817e-11
145,3.2389215389382145e-11
146,3.268148504722336e-11
147,3.297471866488877e-11
148,3.326891592244815e-11
149,3.3564076480318817e-11
150,3.386019997916828e-11
151,3.415728603981875e-11
152,3.445533426315092e-11
153,3.475434423000609e-11
154,3.5054315501092335e-11
155,3.5355247616884874e-11
156,3.565714009752968e-11
157,3.595999244274816e-11
158,3.626380413173813e-11
159,3.656857462307746e-11
160,3.6874303354627115e-11
161,3.7180989743432766e-11
162,3.748863318562797e-11
163,3.7797233056335155e-11
164,3.8106788709570055e-11
165,3.841729947814114e-11
166,3.872876467355531e-11
167,3.9041183585914904e-11
168,3.935455548382361e-11
169,3.966887961428632e-11
170,3.9984155202610435e-11
171,4.0300381452308245e-11
172,4.0617557544998464e-11
173,4.093568264030665e-11
174,4.125475587576588e-11
175,4.15747763667197e-11
176,4.189574320622184e-11
177,4.22176554649377e-11
178,4.2540512191044575e-11
179,4.28643124101322e-11
180,4.318905512510481e-11
181,4.351473931607982e-11
182,4.384136394028952e-11
183,4.4168927931982285e-11
184,4.44974302023202e-11
185,4.482686963928181e-11
186,4.5157245107560365e-11
187,4.5488555448466266e-11
188,4.582079947982377e-11
189,4.615397599587493e-11
190,4.648808376717627e-11
191,4.682312154049874e-11
192,4.715908803872992e-11
193,4.7495981960769924e-11
194,4.7833801981436085e-11
195,4.8172546751356445e-11
196,4.8512214896873986e-11
197,4.8852805019944095e-11
198,4.919431569803285e-11
199,4.953674548401857e-11
200,4.988009290609025e-11
201,5.022435646764557e-11
202,5.0569534647190766e-11
203,5.0915625898240447e-11
204,5.1262628649215745e-11
205,5.161054130334222e-11
206,5.19593622385526e-11
207,5.230908980738004e-11
208,5.2659722336861934e-11
209,5.301125812843547e-11
210,5.336369545783795e-11
211,5.371703257500634e-11
212,5.40712677039725e-11
213,5.442639904276565e-11
214,5.4782424763307923e-11
215,5.513934301131626e-11
216,5.54971519061962e-11
217,5.5855849540946086e-11
218,5.621543398205147e-11
