lambda,period_iters,omega,k_real,k_imag,A_forward,phase_forward,A_backward,phase_backward,r2_fit
200.0,1414,4.44355397e-03,3.18103189e-02,-9.75020277e-04,6.24352452e-02,0.004432,4.97939579e-06,2.724085,1.0000
210.0,1485,4.23110122e-03,3.03078061e-02,-9.13324835e-04,6.24294577e-02,-0.021800,6.90335240e-06,2.245612,1.0000
220.0,1556,4.03803683e-03,2.89420020e-02,-8.59318212e-04,6.24320685e-02,-0.043489,9.43434098e-06,2.374348,1.0000
230.0,1626,3.86419761e-03,2.76947584e-02,-8.11614407e-04,6.24381449e-02,0.010847,1.30076544e-05,-3.097132,1.0000
240.0,1697,3.70252523e-03,2.65513739e-02,-7.69169517e-04,6.24426621e-02,-0.009524,1.68972360e-05,-1.992221,1.0000
250.0,1768,3.55383784e-03,2.54997062e-02,-7.31130800e-04,6.24443442e-02,-0.026982,2.15480280e-05,-0.422199,1.0000
260.0,1839,3.41663149e-03,2.45289706e-02,-6.96896134e-04,6.24504213e-02,-0.041796,2.62687201e-05,1.447927,1.0000
270.0,1909,3.29134903e-03,2.36297564e-02,-6.65761218e-04,6.24456697e-02,-0.001791,3.25803495e-05,-2.532300,1.0000
280.0,1980,3.17332591e-03,2.27954933e-02,-6.37564639e-04,6.24539805e-02,-0.016667,3.95536392e-05,-0.004026,1.0000
290.0,2051,3.06347406e-03,2.20178126e-02,-6.11630691e-04,6.24511977e-02,-0.028173,4.76301269e-05,2.764641,1.0000
300.0,2121,2.96236931e-03,2.12930604e-02,-5.87930121e-04,6.24621426e-02,0.002346,5.55860755e-05,-0.462845,1.0000
310.0,2192,2.86641665e-03,2.06141685e-02,-5.65755887e-04,6.24436743e-02,-0.009032,6.38585817e-05,2.762746,1.0000
320.0,2263,2.77648489e-03,1.99781571e-02,-5.45699421e-04,6.24713926e-02,-0.019667,7.29860436e-05,-0.109697,1.0000
330.0,2334,2.69202455e-03,1.93806757e-02,-5.26501086e-04,6.24466368e-02,-0.029015,8.43990321e-05,-2.800120,1.0000
340.0,2404,2.61363781e-03,1.88175470e-02,-5.08979855e-04,6.24620033e-02,-0.003639,9.43672836e-05,0.968144,1.0000
350.0,2475,2.53866073e-03,1.82877114e-02,-4.92665244e-04,6.24832198e-02,-0.013391,1.05048969e-04,-1.433922,1.0000
360.0,2546,2.46786540e-03,1.77868027e-02,-4.76689749e-04,6.24402290e-02,-0.021395,1.18450559e-04,2.583999,1.0000
370.0,2616,2.40182925e-03,1.73122740e-02,-4.62198227e-04,6.24531798e-02,-0.000172,1.29450117e-04,0.470325,1.0000
380.0,2687,2.33836446e-03,1.68635218e-02,-4.48893494e-04,6.24981473e-02,-0.008381,1.42818475e-04,-1.570337,1.0000
390.0,2758,2.27816726e-03,1.64379874e-02,-4.35566641e-04,6.24672580e-02,-0.016114,1.56181559e-04,2.785044,1.0000
400.0,2829,2.22099163e-03,1.60326452e-02,-4.22775760e-04,6.24276953e-02,-0.021534,1.71182774e-04,0.941063,1.0000
