iter,cos
0,0.000000
1,0.000053
2,0.000106
3,0.000159
4,0.000212
5,0.000265
6,0.000318
7,0.000371
8,0.000424
9,0.000477
10,0.000530
11,0.000583
12,0.000636
13,0.000689
14,0.000742
15,0.000795
16,0.000848
17,0.000902
18,0.000955
19,0.001008
20,0.001061
21,0.001114
22,0.001167
23,0.001220
24,0.001273
25,0.001326
26,0.001379
27,0.001432
28,0.001485
29,0.001538
30,0.001591
31,0.001644
32,0.001697
33,0.001750
34,0.001803
35,0.001856
36,0.001909
37,0.001962
38,0.002015
39,0.002068
40,0.002121
41,0.002174
42,0.002227
43,0.002280
44,0.002333
45,0.002386
46,0.002439
47,0.002492
48,0.002545
49,0.002598
50,0.002651
51,0.002704
52,0.002757
53,0.002810
54,0.002863
55,0.002916
56,0.002969
57,0.003022
58,0.003075
59,0.003128
60,0.003181
61,0.003234
62,0.003287
63,0.003340
64,0.003393
65,0.003446
66,0.003499
67,0.003552
68,0.003605
69,0.003658
70,0.003711
71,0.003764
72,0.003817
73,0.003870
74,0.003923
75,0.003976
76,0.004029
77,0.004082
78,0.004135
79,0.004188
80,0.004241
81,0.004294
82,0.004347
83,0.004400
84,0.004453
85,0.004506
86,0.004559
87,0.004612
88,0.004665
89,0.004718
90,0.004771
91,0.004824
92,0.004877
93,0.004930
94,0.004983
95,0.005036
96,0.005089
97,0.005142
98,0.005195
99,0.005248
100,0.005301
101,0.005354
102,0.005407
103,0.005460
104,0.005512
105,0.005565
106,0.005618
107,0.005671
108,0.005724
109,0.005777
110,0.005830
111,0.005883
112,0.005936
113,0.005989
114,0.006042
115,0.006095
116,0.006148
117,0.006201
118,0.006254
119,0.006307
120,0.006359
121,0.006412
122,0.006465
123,0.006518
124,0.006571
125,0.006624
126,0.006677
127,0.006730
128,0.006783
129,0.006836
130,0.006889
131,0.006942
132,0.006994
133,0.007047
134,0.007100
135,0.007153
136,0.007206
137,0.007259
138,0.007312
139,0.007365
140,0.007418
141,0.007470
142,0.007523
143,0.007576
144,0.007629
145,0.007682
146,0.007735
147,0.007788
148,0.007841
149,0.007893
150,0.007946
151,0.007999
152,0.008052
153,0.008105
154,0.008158
155,0.008211
156,0.008263
157,0.008316
158,0.008369
159,0.008422
160,0.008475
161,0.008528
162,0.008581
163,0.008633
164,0.008686
165,0.008739
166,0.008792
167,0.008845
168,0.008898
169,0.008950
170,0.009003
171,0.009056
172,0.009109
173,0.009162
174,0.009214
175,0.009267
176,0.009320
177,0.009373
178,0.009426
179,0.009478
180,0.009531
181,0.009584
182,0.009637
183,0.009690
184,0.009742
185,0.009795
186,0.009848
187,0.009901
188,0.009953
189,0.010006
190,0.010059
191,0.010112
192,0.010164
193,0.010217
194,0.010270
195,0.010323
196,0.010375
197,0.010428
198,0.010481
199,0.010534
200,0.010586
201,0.010639
202,0.010692
203,0.010745
204,0.010797
205,0.010850
206,0.010903
207,0.010956
208,0.011008
209,0.011061
210,0.011114
211,0.011166
212,0.011219
213,0.011272
214,0.011324
215,0.011377
216,0.011430
217,0.011482
218,0.011535
219,0.011588
220,0.011641
221,0.011693
222,0.011746
223,0.011799
224,0.011851
225,0.011904
226,0.011956
227,0.012009
228,0.012062
229,0.012114
230,0.012167
231,0.012220
232,0.012272
233,0.012325
234,0.012378
235,0.012430
236,0.012483
237,0.012535
238,0.012588
239,0.012641
240,0.012693
241,0.012746
242,0.012798
243,0.012851
244,0.012904
245,0.012956
246,0.013009
247,0.013061
248,0.013114
249,0.013167
250,0.013219
251,0.013272
252,0.013324
253,0.013377
254,0.013429
255,0.013482
256,0.013534
257,0.013587
258,0.013640
259,0.013692
260,0.013745
261,0.013797
262,0.013850
263,0.013902
264,0.013955
265,0.014007
266,0.014060
267,0.014112
268,0.014165
269,0.014217
270,0.014270
271,0.014322
272,0.014375
273,0.014427
274,0.014480
275,0.014532
276,0.014585
277,0.014637
